web_server;compiler;waiting_time
7;456;0
2;219;0
2;215;0
1;323;0
2;322;0
4;215;0
2;212;0
1;213;0
2;216;0
3;264;0
3;393;0
2;366;1
2;266;0
3;266;0
1;213;0
1;213;0
1;211;0
4;212;0
2;212;0
3;211;0
1;214;0
2;211;0
2;211;0
2;210;0
3;214;0
2;214;0
3;212;0
1;235;0
1;235;0
2;212;0
1;211;0
2;211;0
3;211;0
0;213;0
1;212;0
1;212;0
1;212;0
2;215;0
1;215;0
2;212;0
2;213;0
2;322;0
1;319;0
0;212;0
2;231;0
1;236;0
1;211;0
2;213;0
1;213;0
2;210;0
1;212;0
1;211;0
2;213;0
3;211;0
1;210;0
2;211;0
3;215;0
2;422;0
2;448;0
0;418;0
2;211;0
2;213;0
3;213;0
2;382;0
0;380;0
1;213;0
1;212;0
2;213;1
2;211;0
2;213;0
1;225;0
1;265;0
2;261;0
2;270;0
2;269;0
3;215;0
2;288;0
1;287;0
2;212;0
2;213;0
2;214;0
0;213;0
3;218;0
0;217;0
1;211;0
1;213;0
2;287;0
0;280;0
1;209;0
1;212;0
0;211;0
2;212;0
1;210;0
1;210;0
1;210;0
0;213;0
2;213;0
0;228;0
0;221;0
1;210;0
0;209;0
2;216;0
0;242;0
3;237;0
1;211;0
2;211;0
1;212;0
1;216;0
0;211;0
1;211;0
1;212;0
1;211;0
0;210;0
1;210;0
2;215;0
1;300;0
1;300;0
2;284;0
2;281;0
0;330;0
0;327;0
6;212;0
1;218;0
1;211;0
1;212;0
0;212;0
1;212;0
1;215;0
2;212;0
1;213;0
2;210;0
2;210;0
2;209;0
1;211;0
2;213;0
0;214;0
1;212;0
3;381;0
1;378;0
2;209;0
1;211;0
1;210;0
3;361;0
1;359;0
0;216;0
2;210;0
2;212;0
3;213;0
4;358;0
0;356;0
0;219;0
2;254;0
0;252;0
2;210;0
2;235;0
0;238;0
1;211;0
0;213;0
0;211;0
2;210;0
1;210;0
1;211;0
1;211;0
0;212;0
1;282;0
2;285;0
1;343;0
0;346;0
1;210;0
1;210;0
1;209;0
1;211;0
2;213;0
2;316;0
3;313;0
1;215;0
2;211;0
2;213;0
1;216;0
1;216;0
0;213;0
1;214;0
2;211;0
1;211;0
1;215;0
2;217;0
1;216;0
2;210;0
0;213;0
1;225;0
4;335;0
2;318;0
2;214;0
1;215;0
1;215;0
2;216;0
2;211;0
1;276;0
1;274;0
3;211;0
2;209;0
1;214;0
3;217;0
1;211;0
0;213;0
0;212;0
2;211;0
1;210;0
1;214;0
1;216;0
1;272;0
0;270;0
1;211;0
3;211;0
1;213;0
0;388;0
0;384;0
1;209;0
1;210;0
2;210;0
2;220;0
1;213;0
2;357;0
2;431;0
1;334;0
1;213;0
1;212;0
0;214;0
1;211;0
2;209;0
0;213;0
1;386;0
1;387;0
0;210;0
0;214;0
2;211;0
2;209;0
3;273;0
1;269;0
0;214;0
0;214;0
2;211;0
0;211;0
2;211;0
1;209;0
1;210;0
1;209;0
0;210;0
1;211;0
1;212;0
1;214;0
0;210;0
2;210;0
2;208;0
2;266;0
2;376;0
2;321;0
1;211;0
2;210;0
2;212;0
0;215;0
1;211;0
2;210;0
0;212;0
2;210;0
2;212;0
1;212;0
1;212;0
