web_server;compiler;waiting_time
4;560;0
1;519;1
2;220;0
1;796;0
2;941;0
1;1073;1
2;1533;1
5;1655;1
1;1726;1
1;2821;1
2;3145;0
2;3334;0
2;3472;0
1;3803;0
1;3821;0
2;4095;1
2;4331;1
2;4580;0
3;4437;0
1;4891;0
1;4863;0
1;4997;0
2;5186;0
9;5215;0
1;5274;0
1;5282;0
0;5456;1
8;5380;0
37;5254;1
5;5497;0
0;5663;1
1;5433;0
2;5715;0
1;5597;1
17;5566;561
1;5151;988
1;5446;1027
1;5301;1228
0;5297;1618
2;5497;1628
2;5442;2000
1;5663;2124
0;5401;2764
2;5364;2803
0;5287;2977
2;5363;3166
1;5571;3569
0;5740;3489
1;5566;3651
2;5104;4080
2;5644;3872
2;5508;4024
0;5360;4092
1;5333;4064
1;5436;4009
1;5866;4021
2;5479;4023
37;5563;3988
1;5782;4073
0;5361;4748
2;5691;4770
1;5349;5112
1;5544;5083
1;5454;5641
1;5225;5870
2;5426;6123
1;4987;6599
0;5477;6266
1;5400;6649
1;5712;6586
1;5686;6943
2;5050;7677
1;5183;8050
3;5628;7648
1;5542;7841
1;5822;7635
2;4871;8368
1;5433;8145
0;5641;8119
1;5791;8083
1;5517;8292
2;5723;8170
1;5239;8663
1;5723;8346
2;5337;8952
2;5304;9482
1;5560;9348
2;4903;9911
30;5749;9334
0;5095;9972
2;5080;10475
5;5191;10737
2;5618;10720
1;5308;11317
1;5624;11115
16;5152;11671
2;5571;11514
2;5154;12193
1;5140;12229
2;5244;12299
1;5498;12223
0;5421;12253
2;5535;12378
1;5414;12529
2;5135;12664
1;5570;12505
0;5655;12512
0;5707;12498
1;5672;12618
1;5611;12960
2;4976;13393
1;4936;13648
0;5402;13438
2;5274;13452
1;5393;13477
1;5444;14005
1;5282;14590
6;5764;14447
2;5633;14987
1;5293;15208
0;5905;14997
1;5277;15425
2;5033;15720
1;5616;15648
28;5341;15907
2;11229;15919
1;12297;16266
0;12614;16274
16;13089;15911
2;29890;16197
1;34725;17024
1;34705;17021
2;34913;17019
0;35762;16432
20;35831;16779
29;36757;16254
20;36793;16308
10;36727;16393
2;44506;19533
1;44693;19402
2;44649;19416
1;49524;17132
0;51202;17947
1;42018;26717
1;49683;19599
2;48522;20590
2;51306;18565
0;42247;27140
23;53274;16764
2;49470;20160
2;50092;20055
1;51869;18751
0;51148;19637
1;20495;51255
2;49480;38199
2;36748;50817
1;38760;51260
1;41751;50855
1;29266;62940
1;65754;27207
0;42018;50926
2;42025;50960
0;42004;51112
3;26744;67833
1;33239;62943
1;37767;62969
0;32018;67941
1;33504;68521
2;33773;68401
2;35282;67896
0;45227;62937
1;39744;67860
2;40980;67625
2;61344;50946
0;44247;67531
471;46256;67822
0;46988;67798
1;47237;67738
2;31270;86190
21;49006;70484
1;30749;91026
514;20029;106270
2;43984;83737
2;38751;91261
2;33775;99659
1;45012;91419
2;43277;93390
2;44479;94660
1;34988;103746
2;37745;101131
0;29021;109906
1;50748;91042
0;50773;91275
2;29026;112853
40;57014;88878
1;59991;86135
2;46503;99196
1;35249;110162
