web_server;compiler;waiting_time
2;173;0
0;190;0
0;163;0
1;147;0
0;148;0
0;160;0
1;163;0
0;148;0
1;148;0
1;147;0
1;147;0
0;149;0
0;150;0
1;147;0
1;153;0
2;153;0
2;173;0
0;177;0
1;183;0
1;264;0
0;193;0
0;159;0
1;292;0
0;267;0
1;436;0
2;299;0
2;332;0
1;201;0
2;276;0
1;420;0
0;156;0
1;149;0
0;158;0
1;147;0
0;149;0
0;153;0
0;150;0
1;219;0
0;149;0
2;170;0
1;182;0
0;173;0
1;227;0
1;283;0
0;270;0
0;334;0
1;182;0
1;161;0
0;156;0
0;160;0
1;148;0
1;146;0
0;147;0
1;146;0
1;151;0
0;150;0
0;278;0
0;293;0
1;361;0
1;336;0
1;434;0
0;452;0
1;494;0
1;392;0
1;587;0
1;514;0
7;320;0
0;263;0
1;390;0
7;336;0
1;215;0
1;170;0
0;1043;0
1;276;0
2;396;0
2;423;0
1;343;0
1;401;0
1;378;0
0;422;0
1;396;0
1;586;0
1;163;0
1;305;0
1;430;0
1;248;0
1;280;0
1;357;0
1;372;0
1;268;0
0;418;0
2;310;0
1;312;0
1;207;0
2;375;0
3;257;0
2;333;0
1;356;0
1;561;0
0;373;0
1;402;0
2;461;0
1;401;0
6;335;0
1;521;0
3;290;0
2;321;1
1;212;0
2;1432;0
0;197;0
1;797;0
2;533;29
0;899;0
1;209;0
2;179;0
0;239;0
2;332;0
0;507;0
1;418;0
1;505;0
1;478;0
0;605;0
1;622;0
0;620;0
0;293;75
1;680;0
3;376;100
1;303;174
3;626;83
1;612;0
2;475;164
0;502;150
0;599;58
1;345;0
2;354;0
3;283;121
1;1039;0
2;286;141
2;235;0
0;225;0
0;940;0
0;285;0
1;379;0
12;397;0
0;446;0
0;392;0
4;444;0
0;467;0
0;317;0
0;372;0
0;272;0
1;391;0
1;261;0
1;241;0
0;185;0
1;191;0
2;218;0
1;213;0
0;248;0
0;233;0
0;299;0
1;309;0
0;389;0
2;319;0
1;423;0
1;450;0
0;163;0
0;215;0
0;148;0
0;147;0
0;147;0
0;150;0
1;153;0
1;152;0
1;176;0
2;185;0
0;234;0
2;360;0
2;243;0
2;298;0
1;341;0
1;235;0
0;254;0
0;245;0
