web_server;compiler;waiting_time
7;548;0
4;531;0
5;255;0
2;196;0
5;198;0
8;182;0
4;184;0
3;182;0
3;177;0
4;200;0
5;206;0
5;209;0
4;199;1
3;216;0
3;220;0
3;224;0
5;218;0
5;214;1
2;187;0
3;174;0
4;184;0
2;172;0
4;202;0
4;198;0
3;190;0
2;204;0
2;215;0
3;211;0
4;192;0
2;185;0
5;199;0
4;200;0
3;202;0
5;199;0
4;182;0
3;179;0
3;205;0
3;221;0
3;233;0
2;201;0
5;218;0
4;230;0
4;204;0
4;212;0
4;206;0
4;174;0
3;213;0
4;201;0
3;201;0
4;203;0
3;201;0
4;195;0
3;213;0
4;217;0
2;234;0
3;224;1
2;264;0
3;244;0
3;236;0
4;253;0
4;230;0
4;219;0
4;221;0
4;198;0
2;195;0
3;178;0
4;203;0
3;219;0
2;229;0
3;234;0
3;240;0
4;187;0
3;188;0
3;193;0
2;215;0
2;204;0
3;200;0
3;209;0
4;218;0
3;229;0
3;210;0
3;218;0
4;213;0
6;212;0
3;204;0
3;212;0
4;211;0
4;216;0
2;198;0
2;289;0
3;282;0
2;262;0
4;241;0
2;209;0
3;210;0
3;214;0
4;233;0
5;233;0
2;247;0
3;222;0
4;182;0
4;193;0
3;195;0
3;213;0
3;202;0
3;220;0
4;211;0
2;215;0
4;234;0
2;229;0
5;233;0
2;242;0
5;247;0
4;238;0
4;213;0
4;233;0
4;209;0
4;190;0
5;233;0
3;256;0
5;262;0
20;274;0
6;336;0
4;324;0
4;335;0
5;331;0
5;385;0
5;372;1
5;395;0
6;451;0
4;485;0
4;505;0
4;545;1
4;571;0
13;485;0
3;573;0
5;471;91
3;458;93
4;377;174
4;580;76
11;447;92
5;317;147
10;426;101
5;338;102
5;446;90
5;432;110
5;352;103
4;291;64
4;303;99
3;320;12
4;390;168
4;278;0
5;308;0
3;274;0
2;284;0
5;224;0
4;199;0
3;205;0
4;215;0
4;210;0
5;230;0
5;259;0
6;275;0
3;279;0
4;243;0
4;324;0
4;250;0
4;253;0
4;264;0
3;282;0
4;294;0
3;287;0
5;256;0
4;254;0
5;225;0
2;237;0
3;235;0
3;238;0
15;251;0
4;244;0
3;248;0
4;265;0
4;249;0
5;258;0
4;250;0
5;265;0
5;242;0
4;226;0
2;214;0
3;184;0
4;186;0
5;192;0
2;218;0
4;238;0
4;214;0
5;240;0
3;238;0
5;245;0
4;247;0
4;246;0
5;237;0
5;238;0
6;247;0
3;242;0
4;266;0
5;195;0
4;189;0
2;201;0
3;200;0
5;191;0
3;193;0
5;194;0
4;205;0
4;193;0
2;195;0
2;199;0
4;200;0
4;207;0
4;245;0
2;222;0
3;214;0
4;190;0
4;215;0
5;204;0
4;197;0
7;201;0
2;217;0
5;196;0
6;187;0
3;175;0
3;198;0
2;211;0
3;202;0
4;190;0
2;223;0
5;234;0
2;245;0
4;202;0
5;198;0
4;196;0
3;198;0
5;203;0
4;234;0
5;219;0
3;234;0
3;215;0
3;235;0
3;227;0
5;191;0
2;202;0
4;196;0
4;216;0
3;214;0
4;209;0
2;215;0
3;201;0
4;201;0
3;180;0
2;179;0
3;207;0
3;211;0
3;197;0
3;183;0
3;200;0
2;225;0
3;273;0
4;252;0
3;259;0
2;255;0
3;240;0
4;225;0
4;226;0
3;194;0
3;212;0
4;203;0
2;202;0
3;212;0
3;219;0
4;212;0
2;228;0
4;200;0
3;216;0
2;209;0
2;204;0
5;209;0
5;219;0
4;195;0
4;179;0
3;201;0
3;215;0
3;195;0
4;212;0
2;219;0
4;207;0
4;217;0
4;198;0
2;203;0
3;205;0
3;204;0
2;193;0
2;200;0
3;204;0
2;215;0
5;213;0
2;211;0
3;224;0
3;228;0
4;218;0
3;201;0
4;179;0
2;189;0
2;202;0
3;202;0
3;229;0
4;223;0
3;224;0
2;194;0
4;200;0
3;190;0
4;214;0
2;185;0
3;196;0
2;207;0
7;193;0
2;210;0
4;260;0
3;282;0
3;296;0
4;294;0
5;292;0
3;352;0
3;335;0
6;368;0
9;433;0
13;391;0
5;422;0
3;419;0
3;377;0
4;381;0
